"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37327","Trnsfer money based on various 0.00","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","123188","Login with frozen_user1","chromium","2026-08-27","broken","2026-08-27","Login/Logout flow","e2e-login.spec.ts","",""
"","121010","Transfer between same account","chromium","2026-08-27","broken","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","37187","Trnsfer money based on various 1.09","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","123099","Login with overdraft_user1","chromium","2026-08-27","broken","2026-08-27","Login/Logout flow","e2e-login.spec.ts","",""
"","34297","Trnsfer money based on various -090","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","35155","Trnsfer money based on various 30","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","22358","Transfer money - 30 - success","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","35876","Trnsfer money based on various 10","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","30259","Transfer money - 10 - success","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","23307","Transfer money - -090 - error","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","26822","Transfer money - 50000 - error","chromium","2026-08-27","failed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","127783","Positive scenario for login","chromium","2026-08-27","broken","2026-08-27","Login/Logout flow","e2e-login.spec.ts","",""
"","123985","Login with slow_user1","chromium","2026-08-27","broken","2026-08-27","Login/Logout flow","e2e-login.spec.ts","",""
"","120752","Login with locked_user1","chromium","2026-08-27","broken","2026-08-27","Login/Logout flow","e2e-login.spec.ts","",""
"","35410","Trnsfer money based on various 50000","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","122812","Login with standard_user1","chromium","2026-08-27","broken","2026-08-27","Login/Logout flow","e2e-login.spec.ts","",""
"","121643","Transfer between same account with amount exceeding total amount in the bank","chromium","2026-08-27","broken","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","28970","Transfer money - 0.00 - error","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","32053","Transfer money - 1.09 - success","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","34354","Transfer between different account","chromium","2026-08-27","passed","2026-08-27","Transfer Checking","e2e-Transfer.spec.ts","",""
"","121022","pay bill for water utility","chromium","2026-08-27","broken","2026-08-27","Transfer Checking","e2e-PayBill.spec.ts","",""
"","122652","Negative scenario for login","chromium","2026-08-27","broken","2026-08-27","Login/Logout flow","e2e-login.spec.ts","",""
